Datetime,NMEA msg,UTC time,latitude,northing,longitude,easting,fix mode status,space vehicles used,hdop,altitude msl,units,geoid (HAE-MSL),units,Age of DGNSS corrections,Ref station,latitude_decimal,longitude_decimal,HAE
2024-07-29 15:10:57,$GNGGA,201057,4153.25602,N,8739.59761,W,5,12,1.62,181.6,M,-33.8,M,20,0000*6D,41.88760033333333,-87.65996016666666,147.8
2024-07-29 15:10:58,$GNGGA,201058,4153.25594,N,8739.59855,W,5,12,1.62,181.6,M,-33.8,M,21,0000*67,41.887599,-87.65997583333333,147.8
2024-07-29 15:10:59,$GNGGA,201059,4153.25591,N,8739.59955,W,5,12,1.59,181.7,M,-33.8,M,22,0000*68,41.8875985,-87.6599925,147.89999999999998
2024-07-29 15:11:00,$GNGGA,201100,4153.25587,N,8739.60056,W,5,12,1.33,181.8,M,-33.8,M,13,0000*63,41.88759783333333,-87.66000933333333,148.0
2024-07-29 15:11:01,$GNGGA,201101,4153.25582,N,8739.60157,W,5,12,1.59,181.9,M,-33.8,M,4,0000*5C,41.887597,-87.66002616666667,148.10000000000002
2024-07-29 15:11:02,$GNGGA,201102,4153.25577,N,8739.60256,W,5,12,1.59,182,M,-33.8,M,5,0000*5C,41.88759616666667,-87.66004266666667,148.2
2024-07-29 15:11:03,$GNGGA,201103,4153.25568,N,8739.60357,W,5,12,1.59,182,M,-33.8,M,6,0000*50,41.887594666666665,-87.6600595,148.2
2024-07-29 15:11:04,$GNGGA,201104,4153.25562,N,8739.60459,W,5,12,1.24,182,M,-33.8,M,7,0000*5F,41.88759366666667,-87.6600765,148.2
2024-07-29 15:11:05,$GNGGA,201105,4153.25557,N,8739.6056,W,5,12,1.24,182.1,M,-33.8,M,8,0000*5D,41.887592833333336,-87.66009333333334,148.3
2024-07-29 15:11:06,$GNGGA,201106,4153.25547,N,8739.60662,W,5,12,1.24,181.9,M,-33.8,M,9,0000*54,41.88759116666667,-87.66011033333334,148.10000000000002
2024-07-29 15:11:07,$GNGGA,201107,4153.25545,N,8739.60762,W,5,12,1.28,181.9,M,-33.8,M,10,0000*62,41.887590833333334,-87.660127,148.10000000000002
2024-07-29 15:11:08,$GNGGA,201108,4153.25542,N,8739.60859,W,5,12,1.28,181.9,M,-33.8,M,11,0000*6C,41.887590333333335,-87.66014316666667,148.10000000000002
2024-07-29 15:11:09,$GNGGA,201109,4153.25538,N,8739.60957,W,5,12,1.28,181.9,M,-33.8,M,12,0000*6C,41.88758966666666,-87.6601595,148.10000000000002
2024-07-29 15:11:10,$GNGGA,201110,4153.25532,N,8739.61058,W,5,12,1.28,181.9,M,-33.8,M,13,0000*68,41.887588666666666,-87.66017633333334,148.10000000000002
2024-07-29 15:11:12,$GNGGA,201112,4153.25524,N,8739.61259,W,5,12,1.24,182,M,-33.8,M,5,0000*5F,41.887587333333336,-87.66020983333334,148.2
